source,Country,Continent,Consumption(KG),"Yearly coffee
Consumption
per Capita(KG)","Daily Coffee
Consumption
per Capita(CUP)","Coffee
Drinking(YEAR)","Lifetime Cup
Consumption(CUP)","Price
per cup
of coffee","Total Lifetime
Coffee Spending"
1,Luxembourg,Europe,"13,440,000",20.53,5.31,61,"118,227",$3.60,"$425,618"
2,Finland,Europe,"80,880,000",14.58,3.77,61,"83,939",$4.00,"$335,756"
3,Sweden,Europe,"106,140,000",10,2.59,62,"58,612",$3.70,"$216,863"
4,Norway,Europe,"54,360,000",9.93,2.57,62,"58,159",$4.40,"$255,900"
5,Austria,Europe,"70,380,000",7.86,2.03,61,"45,198",$3.30,"$149,153"
6,Denmark,Europe,"46,680,000",7.9,2.04,62,"44,676",$5.40,"$241,250"
7,Switzerland,Europe,"63,600,000",7.23,1.87,62,"42,318",$5.00,"$211,591"
8,Netherlands,Europe,"121,800,000",6.91,1.79,61,"39,854",$3.10,"$123,548"
9,Greece,Europe,"68,340,000",6.61,1.71,60,"37,449",$3.10,"$116,092"
10,Germany,Europe,"520,200,000",6.25,1.61,60,"35,259",$3.10,"$109,303"
11,Canada,North America,"235,740,000",6.08,1.57,61,"34,956",$3.50,"$122,346"
12,Belgium,Europe,"71,100,000",6.08,1.57,60,"34,383",$3.10,"$106,587"
13,France,Europe,"371,520,000",5.74,1.48,61,"32,952",$3.10,"$102,152"
14,Slovenia,Europe,"12,240,000",5.77,1.49,60,"32,631",$1.70,"$55,473"
15,Italy,Europe,"328,140,000",5.57,1.44,62,"32,587",$1.54,"$50,184"
16,Lebanon,Asia,"33,120,000",6.19,1.6,54,"31,536",$3.63,"$114,476"
18,Brazil,South America,"1,320,000,000",6.1,1.58,54,"31,142",$1.55,"$48,270"
17,Cyprus,Europe,"6,900,000",5.48,1.42,60,"31,098",$3.17,"$98,581"
19,Portugal,Europe,"55,860,000",5.45,1.41,60,"30,879",$1.66,"$51,259"
20,Croatia,Europe,"22,860,000",5.7,1.47,57,"30,583",$1.72,"$52,603"
21,Estonia,Europe,"7,380,000",5.58,1.44,57,"29,959",$3.05,"$91,376"
22,Lithuania,Europe,"15,060,000",5.54,1.43,55,"28,707",$2.72,"$78,084"
23,Czech Republic,Europe,"50,580,000",4.82,1.25,58,"26,463",$2.46,"$65,098"
24,United States,North America,"1,599,060,000",4.7,1.22,58,"25,827",$4.69,"$121,131"
24,Australia,Oceania,"116,340,000",4.4,1.14,62,"25,798",$3.24,"$83,586"
26,Ireland,Europe,"22,200,000",4.39,1.13,61,"25,159",$3.47,"$87,303"
27,Spain,Europe,"195,180,000",4.11,1.06,62,"23,988",$1.92,"$46,057"
28,Costa Rica,North America,"21,120,000",4.05,1.05,58,"22,229",$2.55,"$56,683"
29,Japan,Asia,"441,300,000",3.58,0.93,63,"21,385",$3.10,"$66,295"
30,Poland,Europe,"150,060,000",3.66,0.95,57,"19,765",$2.48,"$49,017"
31,Latvia,Europe,"6,840,000",3.74,0.97,54,"19,119",$2.78,"$53,150"
32,Bulgaria,Europe,"25,380,000",3.8,0.98,51,"18,243",$1.57,"$28,641"
33,South Korea,Asia,"148,260,000",2.86,0.74,62,"16,746",$3.59,"$60,119"
34,Romania,Europe,"66,480,000",3.34,0.86,53,"16,637",$2.01,"$33,440"
35,Malta,Europe,"1,380,000",2.58,0.67,62,"15,162",$2.45,"$37,147"
36,Algeria,Africa,"126,600,000",2.78,0.72,55,"14,454",$0.84,"$12,141"
37,El Salvador,North America,"17,520,000",2.75,0.71,51,"13,217",$2.65,"$35,024"
