Country,Happiness_Score
Finland,7.736
Denmark,7.521
Iceland,7.515
Sweden,7.345
Netherlands,7.306
Costa Rica,7.274
Norway,7.262
Israel,7.234
Luxembourg,7.122
Mexico,6.979
Australia,6.974
New Zealand,6.952
Switzerland,6.935
Belgium,6.910
Ireland,6.889
Lithuania,6.829
Austria,6.810
Canada,6.803
Slovenia,6.792
Czechia,6.775
United Arab Emirates,6.759
Germany,6.753
United Kingdom,6.728
United States,6.724
Belize,6.711
Poland,6.673
Taiwan Province of China,6.669
Uruguay,6.661
Kosovo,6.659
Kuwait,6.629
Serbia,6.606
Saudi Arabia,6.600
France,6.593
Singapore,6.565
Romania,6.563
Brazil,6.494
El Salvador,6.492
Spain,6.466
Estonia,6.417
Italy,6.415
Panama,6.407
Argentina,6.397
Kazakhstan,6.378
Guatemala,6.362
Chile,6.361
Vietnam,6.352
Nicaragua,6.330
Malta,6.316
Thailand,6.222
Slovakia,6.221
Latvia,6.207
Oman,6.197
Uzbekistan,6.193
Paraguay,6.172
Japan,6.147
Bosnia and Herzegovina,6.136
Philippines,6.107
South Korea,6.038
Bahrain,6.030
Portugal,6.013
Colombia,6.004
Ecuador,5.965
Honduras,5.964
Malaysia,5.955
Peru,5.947
Russia,5.945
Cyprus,5.942
China,5.921
Hungary,5.915
Montenegro,5.877
Croatia,5.870
Jamaica,5.870
Bolivia,5.868
Kyrgyzstan,5.858
Dominican Republic,5.846
Mongolia,5.833
Mauritius,5.832
Greece,5.776
Venezuela,5.683
Indonesia,5.617
Algeria,5.571
Bulgaria,5.554
North Macedonia,5.503
Armenia,5.494
Albania,5.411
Georgia,5.400
Nepal,5.311
Laos,5.301
Turkey,5.262
South Africa,5.213
Mozambique,5.190
Gabon,5.120
Ivory Coast,5.102
Iran,5.093
Congo,5.030
Iraq,4.976
Nigeria,4.885
Morocco,4.622
Kenya,4.510
Uganda,4.461
India,4.389
Cambodia,4.341
Myanmar,4.321
Jordan,4.310
Madagascar,4.157
Zambia,3.912
Ethiopia,3.898
Sri Lanka,3.891
Bangladesh,3.851
Egypt,3.817
Tanzania,3.800
Zimbabwe,3.396
Afghanistan,1.364 
