phone,active_use_score,company,year_of_release
Apple iPhone 16 Plus,18:49h,Apple,2025
vivo iQOO 13,18:03h,vivo,2025
ZTE nubia Red Magic 9 Pro,17:38h,ZTE,2023
Realme GT 7 Pro,17:31h,Realme,2025
Sony Xperia 1 VI,17:27h,Sony,2025
Apple iPhone 16 Pro Max,17:18h,Apple,2025
ZTE nubia Red Magic 10 Pro,17:13h,ZTE,2025
ZTE nubia Red Magic 9S Pro,17:08h,ZTE,2024
Oppo Reno13,16:50h,Oppo,2025
Oppo Reno13 Pro,16:42h,Oppo,2025
Asus ROG Phone 9,16:41h,Asus,2025
Asus ROG Phone 9 Pro,16:41h,Asus,2025
Nothing Phone (2a) Plus,16:34h,Nothing,2025
Apple iPhone 15 Plus,16:33h,Apple,2023
Xiaomi 15,16:28h,Xiaomi,2024
Asus Zenfone 11 Ultra,16:28h,Asus,2024
Sony Xperia 5 V,16:19h,Sony,2023
Sony Xperia 10 V,16:14h,Sony,2023
Xiaomi 15 Ultra,16:13h,Xiaomi,2024
Nothing CMF Phone 1,16:13h,Nothing,2025
vivo V50,16:09h,vivo,2025
Apple iPhone 15 Pro Max,16:01h,Apple,2023
Nothing Phone (2a),15:53h,Nothing,2024
Asus Zenfone 12 Ultra,15:50h,Asus,2025
Apple iPhone 16,15:42h,Apple,2025
OnePlus 13,15:28h,OnePlus,2025
Samsung Galaxy A15,15:28h,Samsung,2024
Oppo Find X8 Pro,15:18h,Oppo,2025
Honor Magic7 RSR Porsche Design,15:11h,Honor,2025
OnePlus 13R,15:09h,OnePlus,2025
vivo X200 Pro,15:09h,vivo,2025
vivo V40,15:06h,vivo,2024
Honor Magic7 Lite,15:02h,Honor,2025
Realme GT 6T,15:01h,Realme,2024
vivo V30,15:01h,vivo,2024
ZTE nubia Z60 Ultra,14:57h,ZTE,2023
Oppo Reno12 Pro,14:54h,Oppo,2024
Oppo Reno12,14:53h,Oppo,2024
vivo X200,14:51h,vivo,2025
Asus ROG Phone 7,14:51h,Asus,2023
Samsung Galaxy S25 Ultra,14:49h,Samsung,2025
Samsung Galaxy A16,14:43h,Samsung,2025
Asus ROG Phone 8 Pro,14:43h,Asus,2024
OnePlus Nord 4,14:41h,OnePlus,2024
Realme GT 6,14:32h,Realme,2024
OnePlus 12R,14:32h,OnePlus,2024
Oppo Find X8 Ultra,14:31h,Oppo,2025
Samsung Galaxy A15 5G,14:31h,Samsung,2023
Tecno Camon 30 Pro,14:29h,Tecno,2024
Samsung Galaxy S25+,14:26h,Samsung,2025
Tecno Pova 6 Pro,14:22h,Tecno,2024
Nothing Phone (2),14:21h,Nothing,2023
Motorola Edge 60 Fusion,14:18h,Motorola,2024
Apple iPhone 16 Pro,14:17h,Apple,2024
Realme GT5 Pro,14:16h,Realme,2023
Honor Magic6 RSR Porsche Design,14:14h,Honor,2024
OnePlus 12,14:11h,OnePlus,2023
Realme 14 Pro+,14:10h,Realme,2025
Honor Magic6 Pro,14:06h,Honor,2024
ZTE nubia Z60 Ultra Leading,14:04h,ZTE,2023
Oppo Find X8,13:58h,Oppo,2025
Sony Xperia 10 VI,13:56h,Sony,2024
Xiaomi 14,13:56h,Xiaomi,2023
Xiaomi Redmi Pad SE,13:56h,Xiaomi,2023
Motorola Moto G54 Power,13:54h,Motorola,2023
Honor Magic7 Pro,13:53h,Honor,2025
vivo X100 Pro,13:53h,vivo,2023
Xiaomi Poco F7 Pro,13:51h,Xiaomi,2025
Samsung Galaxy S23+,13:51h,Samsung,2023
Ulefone Armor Mini 20T Pro,13:50h,Ulefone,2024
Samsung Galaxy A06,13:50h,Samsung,2024
